feature,gain
ret_lag_1,4733.686158359051
ret_lag_21,2165.4614062309265
vol_lag_21,2094.9386280328035
vol_zscore_21,1749.7212602645159
realized_vol_5d,1385.3451620312408
ret_lag_5,795.7420436739922
vol_lag_5,772.3435730338097
finbert_pos_mean,218.7678737938404
finbert_neg_mean,60.268970251083374
rsi_14,0.0
finbert_neu_mean,0.0
finbert_pos_frac,0.0
finbert_neg_frac,0.0
days_since_last_call,0.0
news_sent_mean,0.0
news_risk_max,0.0
news_count,0.0
news_topic_earnings,0.0
news_topic_guidance,0.0
news_topic_ai_demand,0.0
news_topic_datacenter,0.0
news_topic_china,0.0
news_topic_supply_chain,0.0
news_topic_competition,0.0
news_topic_regulation,0.0
news_topic_macro,0.0
news_topic_other,0.0
